,mpID,Chemical Formula,no. of elements,Total no. of atoms,Space Group,Space Group Number,Shear_Modulus,Bulk_Modulus,density,band-gap,stability,icsd_ID,v_L,v_T,v
0,2,Pd1,1,1,Fm-3m,225,43.0,160.0,11.408077283359075,0.0,0,,4364.581642314794,1941.458003069191,2190.7384047763485
1,4,Nd1,1,1,Im-3m,229,10.0,33.0,6.783741965277224,0.0,0.13995944000000016,,2613.343454861705,1214.1304183641075,1367.351332696713
2,8,Re2,1,2,P6_3/mmc,194,173.0,365.0,20.530089041817718,0.0,0,,5386.233904386919,2902.870320421801,3240.5256626064534
3,9,Y1,1,1,Fm-3m,225,23.0,39.0,4.551009761894836,0.0,0.02356802666666713,,3912.323283466009,2248.0710579685465,2496.819731934713
4,10,As1,1,1,Pm-3m,221,43.0,80.0,6.0644094397707535,0.0,0.1264630999999996,,4758.510790934565,2662.8087185445947,2964.00322620601
5,11,As2,1,2,R-3m,166,28.0,40.0,5.540734294886006,0.0,0,,3735.712916517296,2247.9950655701964,2486.116509096931
6,13,Fe1,1,1,Im-3m,229,74.0,182.0,8.096264566321585,0.0,0,,5887.541584688529,3023.246189467958,3386.0041502825607
7,14,Se3,1,3,P3_121,152,6.0,9.0,4.403366973351054,1.0598999999999998,0.007106380989583272,,1964.746266035718,1167.3018795688345,1292.5423958006108
8,17,Cr8,1,8,Pm-3n,223,115.0,250.0,7.349657235234137,0.0,0.0852730475000012,,7407.606023110638,3955.6274085671316,4418.6562681854075
9,18,Tb2,1,2,P6_3/mmc,194,23.0,38.0,8.119996042544862,0.0,0.01891127500000067,,2907.8421540571653,1683.0073368101762,1868.0495966968608
10,19,Te3,1,3,P3_121,152,15.0,22.0,6.048410486700143,0.40830000000000055,0,,2634.9851011443234,1574.7985298265035,1742.7725951962998
11,20,Be1,1,1,Im-3m,229,84.0,124.0,1.9150108480701786,0.0,0.09567004499999987,,11100.55307059727,6622.988848309478,7330.619788032936
12,23,Ni1,1,1,Fm-3m,225,95.0,198.0,9.047689399099639,0.0,0,,5990.027673659327,3240.357751219803,3616.2834134635395
13,24,C8,1,8,Ia-3,206,504.0,387.0,3.5562605373266414,2.4558999999999997,0.8330785837499999,,17255.070726298985,11904.700749330945,12954.069792613083
14,26,La4,1,4,P6_3/mmc,194,16.0,25.0,6.208915866913688,0.0,0,,2731.5797747702873,1605.284838113736,1779.3313212305425
15,27,Si1,1,1,Fm-3m,225,7.0,83.0,3.2198235764613816,0.0,0.5296386350000004,,5354.978501072708,1474.4599548728852,1682.0034671982128
16,28,Ce1,1,1,Fm-3m,225,36.0,37.0,8.848109142636028,0.0,0.001560065000000499,,3099.2283000392245,2017.0934301274287,2211.713392510412
17,30,Cu1,1,1,Fm-3m,225,51.0,145.0,8.888274490695519,0.0,0,,4895.124489266727,2395.3906992903985,2690.4882755845756
18,32,Ge2,1,2,Fd-3m,227,45.0,59.0,5.041969953990788,0.0,0,,4857.871031487687,2987.487729843043,3296.683258745517
19,33,Ru2,1,2,P6_3/mmc,194,193.0,308.0,12.029325585466712,0.0,0,,6854.991879069121,4005.5117926142552,4442.1180514290745
20,34,Si1,1,1,P6/mmm,191,58.0,109.0,3.0971010926535714,0.0,0.3033733550000006,,7756.129545880454,4327.492322651984,4818.1189006444465
21,36,Sc1,1,1,Fm-3m,225,22.0,51.0,3.030159902554528,0.0,0.049208115000000774,,5148.672845434864,2694.502351391958,3014.086090674796
22,37,Th1,1,1,Fm-3m,225,41.0,56.0,12.029896000593228,0.0,0,,3032.8481055359966,1846.1245257592861,2039.3385318396106
23,38,Pr4,1,4,P6_3/mmc,194,19.0,32.0,6.416113029342244,0.0,0,,2989.1217491152665,1720.841208509843,1910.9378180109964
24,39,Tl1,1,1,Im-3m,229,3.0,27.0,10.901211278764475,0.0,0,,1686.3063042099027,524.5939152559357,597.5267672890636
25,41,Zr1,1,1,Im-3m,229,6.0,89.0,6.584884206307842,0.0,0.0745623799999997,,3838.0207520951717,954.5563125239098,1089.90665785211
26,42,Ta30,1,30,P-42_1m,113,59.0,195.0,16.05411630697773,0.0,0.007001462000001624,,4128.593677660918,1917.0471888397676,2159.031323719397
27,44,U2,1,2,Cmcm,63,110.0,147.0,19.776541085678677,0.0,0,,3853.230991275789,2358.420138630592,2603.7898144851642
28,45,Ca1,1,1,Fm-3m,225,8.0,17.0,1.5936111479620294,0.0,0.0009796950000000582,,4166.4512855227385,2240.5457379328936,2501.5589979734873
29,46,Ti2,1,2,P6_3/mmc,194,47.0,113.0,4.579441452533267,0.0,0.004000340000001046,,6193.256367110515,3203.632372031361,3586.349889672535
30,47,C4,1,4,P6_3/mmc,194,525.0,436.0,3.488248606900265,3.3727,0.16150600749999988,,18044.796846095796,12268.061289036936,13376.61969647493
31,48,C4,1,4,P6_3/mmc,194,96.0,122.0,1.741733923063932,0.0,0.006472662500000226,,11979.847853435675,7424.115354821077,8185.871955781892
32,49,Os2,1,2,P6_3/mmc,194,259.0,401.0,22.004377807492602,0.0,0,,5823.535839866306,3430.799479581013,3801.903644812654
33,50,Ta1,1,1,Im-3m,229,62.0,194.0,16.387803686623045,0.0,0,,4108.675299546374,1945.0710427962963,2188.516203046586
34,51,Li1,1,1,Fm-3m,225,5.0,14.0,0.5718907359701879,0.0,0.002892693333333307,,6011.199949412389,2956.8444031666577,3320.148487920587
35,54,Co2,1,2,P6_3/mmc,194,105.0,212.0,8.959676051007312,0.0,0,,6267.63339081659,3423.327870213048,3817.7475861132093
36,55,Sn1,1,1,I4/mmm,139,13.0,48.0,7.084786796227623,0.0,0.04719870999999998,,3036.6141573999384,1354.5913044779315,1528.3351703883122
37,56,Ba2,1,2,P6_3/mmc,194,4.0,8.0,3.5712595394317614,0.0,0.015968435000000003,,1932.1326780202046,1058.3255694459774,1180.0065544965514
38,62,Pa1,1,1,I4/mmm,139,4.0,96.0,15.742733035650488,0.0,0.02744875999999863,,2537.07462604934,504.06893142753574,576.2625806483101
39,64,Ce2,1,2,Cmcm,63,34.0,42.0,8.95677719489679,0.0,0.04038170000000019,,3122.3814025680754,1948.33473407864,2146.6612536198063
40,66,C2,1,2,Fd-3m,227,520.0,436.0,3.4958233165917796,4.1159,0.13641901499999953,,17972.272927054364,12196.267312050039,13301.657174532613
41,67,Sc2,1,2,P6_3/mmc,194,30.0,52.0,3.0230508475052695,0.0,0,,5516.296271647855,3150.198361930831,3500.626121827036
42,68,Sm2,1,2,P6_3/mmc,194,18.0,35.0,7.271516599722856,0.0,0.021161271666667147,,2848.33733174124,1573.3442330761734,1753.1072320570388
43,69,Sm4,1,4,P6_3/mmc,194,23.0,37.0,7.368487794547815,0.0,0.06703999666666682,,3030.216112133724,1766.7485102047374,1959.7141375299268
44,71,Yb1,1,1,Im-3m,229,9.0,15.0,7.213098271654083,0.0,0.01717999333333342,,1934.6251475616912,1117.0184080278752,1240.0961545805733
45,72,Ti3,1,3,P6/mmm,191,61.0,113.0,4.646836555524456,0.0,0,,6466.5438941073,3623.1492034734333,4032.560888652691
46,73,Ti1,1,1,Im-3m,229,1287.0,105.0,4.624491873954023,0.0,0.11159829000000077,,19841.376582452434,16682.35132761649,17510.03598261823
47,74,Rh1,1,1,Fm-3m,225,145.0,253.0,12.03461231204723,0.0,0,,6089.6185970851875,3471.106580980135,3857.8453158284087
48,75,Nb1,1,1,Im-3m,229,20.0,174.0,8.427646748752851,0.0,0,,4879.52157046718,1540.5004732323043,1754.280244288281
49,76,Sr1,1,1,Fm-3m,225,7.0,12.0,2.66425270019761,0.0,0.00639250333333341,,2829.5534397118063,1620.9189989820013,1800.7498336976082
50,78,Ge2,1,2,I4_1/amd,141,34.0,62.0,6.252004346466942,0.0,0.2270844099999998,,4143.188981615177,2332.006855936677,2594.5580082864935
51,79,Zn2,1,2,P6_3/mmc,194,37.0,67.0,6.981484739225737,0.0,0,,4081.8323851666714,2302.11473975888,2560.8760631378545
52,81,Au1,1,1,Fm-3m,225,15.0,137.0,18.025655784222028,0.0,0,,2951.191380547853,912.2210565901743,1039.14249538625
53,82,Tl2,1,2,P6_3/mmc,194,7.0,26.0,10.844474023300215,0.0,0.002924900000000008,,1804.98550439228,803.4239495228449,906.5572707069442
54,84,Sn2,1,2,I4_1/amd,141,21.0,46.0,6.960113132687843,0.0,0.018241060000000253,,3260.5222522095537,1737.0067172479667,1940.655704177359
55,85,In1,1,1,Fm-3m,225,5.0,33.0,6.913004930845592,0.0,0.03681058000000004,,2395.357258608887,850.4554504851131,966.3731342906689
56,86,Sm3,1,3,R-3m,166,22.0,36.0,7.336110976773464,0.0,0,,2984.077424086771,1731.7228766624655,1921.6686651188431
